iter	Passed	Remaining
457	824	975
458	826	973
459	828	972
460	830	970
461	831	968
462	832	965
463	834	963
464	835	961
465	837	959
466	839	958
467	841	957
468	844	956
469	846	954
470	847	952
471	848	949
472	850	947
473	851	945
474	852	942
475	855	941
476	858	940
477	859	938
478	860	936
479	861	933
480	863	931
481	864	928
482	866	927
483	869	926
484	871	924
485	872	922
486	873	920
487	874	917
488	875	915
489	877	912
490	878	910
491	883	912
492	885	910
493	887	908
494	888	906
495	889	903
496	891	902
497	893	900
498	896	899
499	897	897
500	899	895
501	900	893
502	901	891
503	902	888
504	904	886
505	905	884
506	907	882
507	911	882
508	913	881
509	914	878
510	915	876
511	916	873
512	917	871
513	919	869
514	921	867
515	923	865
516	925	864
517	926	861
518	927	859
519	928	856
520	929	854
521	930	851
522	931	849
523	931	846
524	932	843
525	933	841
526	935	839
527	936	837
528	937	834
529	938	832
530	939	829
531	940	827
532	941	824
533	942	822
534	943	819
535	943	817
536	944	814
537	945	811
538	946	809
539	947	807
540	948	804
541	949	802
542	950	800
543	952	798
544	953	795
545	954	793
546	955	791
547	957	789
548	958	787
549	959	784
550	960	782
551	961	780
552	1005	812
553	1007	810
554	1008	808
555	1010	807
556	1013	806
557	1016	805
558	1021	805
559	1022	803
560	1024	801
561	1026	800
562	1028	798
563	1031	797
564	1033	795
565	1034	793
566	1035	791
567	1037	788
568	1051	796
569	1052	794
570	1053	791
571	1055	789
572	1056	787
573	1058	785
574	1060	783
575	1062	781
576	1063	779
577	1064	777
578	1066	775
579	1067	772
580	1068	770
581	1070	768
582	1072	766
583	1076	767
584	1078	765
585	1079	762
586	1080	760
587	1081	758
588	1082	755
589	1084	753
590	1085	751
591	1088	749
592	1090	748
593	1092	746
594	1093	744
595	1095	742
596	1096	740
597	1097	737
598	1098	735
599	1100	733
600	1102	731
601	1103	729
602	1104	727
603	1105	725
604	1106	722
605	1107	720
606	1108	717
607	1110	715
608	1111	713
609	1114	712
610	1116	710
611	1117	708
612	1118	706
613	1119	704
614	1120	701
615	1122	699
616	1123	697
617	1125	695
618	1128	694
619	1129	692
620	1131	690
621	1132	688
622	1133	685
623	1135	683
624	1135	681
625	1137	679
626	1138	677
627	1142	676
628	1143	674
629	1144	672
630	1145	670
631	1146	667
632	1147	665
633	1148	662
634	1149	660
635	1150	658
636	1150	655
637	1151	653
638	1153	651
639	1154	649
640	1157	648
641	1158	646
642	1160	644
643	1161	642
644	1162	640
645	1164	637
646	1165	635
647	1166	633
648	1168	631
649	1170	630
650	1171	628
651	1173	626
652	1174	624
653	1175	622
654	1176	619
655	1178	617
656	1179	615
657	1181	613
658	1182	611
659	1185	610
660	1186	608
661	1188	606
662	1189	604
663	1190	602
664	1191	600
665	1192	598
666	1193	596
667	1195	594
668	1196	592
669	1200	591
670	1201	589
671	1202	587
672	1205	585
673	1207	583
674	1209	582
675	1210	580
676	1211	578
677	1212	575
678	1213	573
679	1214	571
680	1216	569
681	1218	567
682	1221	566
683	1222	564
684	1224	562
685	1225	560
686	1226	558
687	1227	556
688	1229	554
689	1230	552
690	1232	551
691	1234	549
692	1236	547
693	1238	545
694	1239	543
695	1240	542
696	1242	539
697	1243	538
698	1245	536
699	1246	534
700	1248	532
701	1249	530
702	1251	528
703	1252	526
704	1253	524
705	1254	522
706	1256	520
707	1258	519
708	1261	517
709	1262	515
710	1263	513
711	1265	511
712	1266	509
713	1268	508
714	1269	506
715	1271	504
716	1280	505
717	1283	503
718	1284	502
719	1286	500
720	1287	498
721	1288	496
722	1290	494
723	1292	492
724	1293	490
725	1294	488
726	1296	486
727	1297	484
728	1299	483
729	1301	481
730	1302	479
731	1303	477
732	1305	475
733	1306	473
734	1307	471
735	1308	469
736	1311	467
737	1313	466
738	1315	464
739	1316	462
740	1317	460
741	1318	458
742	1320	456
743	1321	454
744	1322	452
745	1326	451
746	1328	449
747	1332	448
748	1333	446
749	1334	444
750	1336	443
751	1337	441
752	1339	439
753	1342	437
754	1343	436
755	1344	434
756	1346	432
757	1347	430
758	1348	428
759	1349	426
760	1351	424
761	1353	422
762	1356	421
763	1357	419
764	1359	417
765	1360	415
766	1361	413
767	1362	411
768	1364	409
769	1366	408
770	1368	406
771	1370	404
772	1371	402
773	1372	400
774	1374	399
775	1376	397
776	1377	395
777	1380	393
778	1383	392
779	1385	390
780	1386	388
781	1388	387
782	1389	385
783	1391	383
784	1394	381
785	1397	380
786	1398	378
787	1400	376
788	1401	374
789	1402	372
790	1405	371
791	1408	369
792	1410	368
793	1411	366
794	1413	364
795	1414	362
796	1418	361
797	1420	359
798	1423	358
799	1425	356
800	1426	354
801	1428	352
802	1430	350
803	1431	348
804	1434	347
805	1436	345
806	1439	344
807	1442	342
808	1444	340
809	1445	339
810	1447	337
811	1448	335
812	1452	334
813	1456	332
814	1459	331
815	1461	329
816	1463	327
817	1466	326
818	1468	324
819	1469	322
820	1470	320
821	1472	318
822	1474	317
823	1477	315
824	1479	313
825	1481	312
826	1483	310
827	1484	308
828	1485	306
829	1487	304
830	1488	302
831	1495	301
832	1497	300
833	1498	298
834	1499	296
835	1500	294
836	1501	292
837	1503	290
838	1505	288
839	1507	287
840	1509	285
841	1510	283
842	1512	281
843	1513	279
844	1514	277
845	1515	275
846	1518	274
847	1520	272
848	1522	270
849	1524	268
850	1525	267
851	1526	265
852	1527	263
853	1528	261
854	1530	259
855	1532	257
856	1533	255
857	1535	254
858	1536	252
859	1537	250
860	1538	248
861	1539	246
862	1540	244
863	1540	242
864	1541	240
865	1542	238
866	1543	236
867	1544	234
868	1545	233
869	1548	231
870	1549	229
871	1551	227
872	1552	225
873	1554	224
874	1555	222
875	1556	220
876	1557	218
877	1558	216
878	1560	214
879	1563	213
880	1564	211
881	1565	209
882	1566	207
883	1567	205
884	1568	203
885	1569	201
886	1570	200
887	1571	198
888	1573	196
889	1577	195
890	1579	193
891	1580	191
892	1581	189
893	1583	187
894	1584	185
895	1585	183
896	1586	182
897	1588	180
898	1589	178
899	1590	176
900	1592	174
901	1593	173
902	1594	171
903	1595	169
904	1597	167
905	1598	165
906	1599	163
907	1600	162
908	1601	160
909	1603	158
910	1605	156
911	1607	155
912	1609	153
913	1610	151
914	1611	149
915	1612	147
916	1614	146
917	1616	144
918	1619	142
919	1620	140
920	1622	139
921	1623	137
922	1624	135
923	1625	133
924	1627	131
925	1628	130
926	1630	128
927	1632	126
928	1635	124
929	1636	123
930	1637	121
931	1639	119
932	1640	117
933	1641	116
934	1642	114
935	1644	112
936	1647	110
937	1649	109
938	1650	107
939	1651	105
940	1652	103
941	1654	101
942	1655	100
943	1656	98
944	1657	96
945	1660	94
946	1662	93
947	1663	91
948	1664	89
949	1666	87
950	1667	85
951	1668	84
952	1669	82
953	1671	80
954	1672	78
955	1675	77
956	1677	75
957	1678	73
958	1680	71
959	1681	70
960	1683	68
961	1684	66
962	1685	64
963	1688	63
964	1689	61
965	1691	59
966	1692	57
967	1693	55
968	1694	54
969	1695	52
970	1697	50
971	1698	48
972	1699	47
973	1701	45
974	1703	43
975	1704	41
976	1706	40
977	1707	38
978	1708	36
979	1710	34
980	1711	33
981	1712	31
982	1714	29
983	1717	27
984	1719	26
985	1721	24
986	1722	22
987	1723	20
988	1725	19
989	1726	17
990	1728	15
991	1731	13
992	1733	12
993	1735	10
994	1736	8
995	1737	6
996	1738	5
997	1739	3
998	1740	1
999	1742	0
